NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;FE.INSTAL.;FE.PROX.VIS.;TIPO SISTEMA;DESC. TIPO SIST.;TOT.PUNTOS;CANT.FUSIBLES;CANT.BOQUILLAS;NUM.SERIE CARTUCHO;FE.CAMB.CARTUCHO;NUM.SERIE ARMARIO;
MTO/BKQ-14;0023006;B.K.12187 - ALICANTE II - Av. DENIA;1;CAMPANA FREIDORAS (4)         ; 1-ABR-99; 4-SEP-22;ANSUL          ;R-102; 11;  3;  6;428441; 1-OCT-08;28324;
MTO/BKQ-14;0023006;B.K.12187 - ALICANTE II - Av. DENIA;2;CAMPANA BROILER               ; 1-ABR-99; 4-SEP-22;ANSUL          ;R-102;  7;  1;  4;428441; 1-ENE-09;25787;
MTO/BKQ-140;0023157;B.K. 18519 - ATOCHA;1;CAMPANA FREIDORA ;         ;19-JUN-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-140;0023157;B.K. 18519 - ATOCHA;2;CAMPANA BROILER;         ;19-JUN-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-141;0023158;B.K. 20923 - Avda. AVIACION;1;CAMPANA FREIDORA ; 2-ENE-15;12-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-141;0023158;B.K. 20923 - Avda. AVIACION;2;CAMPANA BROILER; 1-FEB-15;12-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-142;0023159;B.K. 20609 - CC EL BERCIAL;1;CAMPANA FREIDORA ;         ;20-MAR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-142;0023159;B.K. 20609 - CC EL BERCIAL;2;CAMPANA BROIER;         ;20-MAR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-143;0023160;B.K. 13590 - Bravo Murillo, 222;1;CAMPANA FREIDORA ;         ; 9-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-143;0023160;B.K. 13590 - Bravo Murillo, 222;2;CAMPANA BROILER;         ; 9-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-144;0023161;B.K. 17622 - BULEVAR SALVADOR ALLENDE;1;CAMPANA FREIDORA ;         ;22-FEB-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-144;0023161;B.K. 17622 - BULEVAR SALVADOR ALLENDE;2;CAMPANA BROILER ;         ;22-FEB-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-145;0023162;B.K. 6868 - CONCHA ESPINA;1;CAMPANA FREIDORA;         ;15-MAY-19;SF/A 300       ;; 11;  4;  6;LT-30; 1-MAR-03;S-061097;
MTO/BKQ-145;0023162;B.K. 6868 - CONCHA ESPINA;2;CAMPANA BROILER;         ;15-MAY-19;SF/A 300       ;;  7;  1;  4;LT-30; 1-JUL-03;S-061398;
MTO/BKQ-146;0023163;B.K. 15416 - CC CUADERNILLOS;1;CAMPANA FREIDORA ;         ;10-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-146;0023163;B.K. 15416 - CC CUADERNILLOS;2;CAMPANA BROILER;         ;10-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-147;0023164;B.K. 13840 - DIVERSIA;1;CAMPANA FREIDORA;         ;30-ABR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-147;0023164;B.K. 13840 - DIVERSIA;2;CAMPANA BROILER;         ;30-ABR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-148;0023165;B.K. 6078 - CC EL VAL;1;CAMPANA FREIDORA;         ;26-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-148;0023165;B.K. 6078 - CC EL VAL;2;CAMPANA BROILER;         ;26-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-149;0023166;B.K. 10651 - PASEO ESPERANZA;1;CAMPANA FREIDORA;         ;27-MAR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-149;0023166;B.K. 10651 - PASEO ESPERANZA;2;CAMPANA BROILER;         ;27-MAR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-15;0023001;B.K.12400 - ALICANTE III * Av.Salamanca;1;CAMPANA FREIDORAS             ;18-SEP-02;19-JUL-22;ANSUL          ;R-102; 11;  3;  6;86592 05/02         ;         ;                    ;
MTO/BKQ-15;0023001;B.K.12400 - ALICANTE III * Av.Salamanca;2;CAMPANA BROILER               ;18-SEP-02;19-JUL-22;ANSUL          ;R-102;  7;  1;  4;119-127 06/02       ;         ;                    ;
MTO/BKQ-151;0023168;B.K. 21510 - GENERAL RICARDOS;1;CAMPANA FREIDORA;         ;12-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-151;0023168;B.K. 21510 - GENERAL RICARDOS;2;CAMPANA BROILER;         ;12-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-152;0023169;B.K. 5130 - GOYA;1;CAMPANA FREIDORA;         ;23-ENE-19;SF/A 300       ;; 11;  4;  6;lt-30;         ;;
MTO/BKQ-152;0023169;B.K. 5130 - GOYA;2;CAMPANA BROILER;         ;23-ENE-19;SF/A 300       ;;  7;  2;  4;LT-30;         ;;
MTO/BKQ-153;0023170;B.K. 21370 - GUADALAJARA;1;CAMPANA FREIDORA;         ;19-SEP-22;SF/A 300       ;; 11;  4;  6;LT-30;         ;;
MTO/BKQ-153;0023170;B.K. 21370 - GUADALAJARA;2;CAMPANA BROILER;         ;19-SEP-22;SF/A 300       ;;  7;  2;  4;LT-30;         ;;
MTO/BKQ-154;0023171;B.K. 8532 - CC LA RAMBLA;1;CAMPANA FREIDORA;         ;26-MAR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-154;0023171;B.K. 8532 - CC LA RAMBLA;2;CAMPANA BROILER;         ;26-MAR-19;;;  0;  0;  0;;         ;;
MTO/BKQ-155;0023172;B.K. 17887 - CC LA VI•A;1;CAMPANA FREIDORA;         ;25-MAR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-155;0023172;B.K. 17887 - CC LA VI•A;2;CAMPANA BROILER;         ;25-MAR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-156;0023173;B.K. 22074 - MEJORADA;1;CAMPANA FREIDORA;         ;10-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-156;0023173;B.K. 22074 - MEJORADA;2;CAMPANA BROILER;         ;10-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-157;0023174;B.K. 21677 - MOSTOLES ELSOTO;1;CAMP. FREIDORA Y CAMP. BROILER;         ;29-ABR-19;SF/A 300       ;TANDEM; 18;  6; 10;DOBLE TANK;         ;;
MTO/BKQ-158;0023175;B.K.14109-BOADILLA DEL MONTE NUEVO MUNDO;1;CAMPANA FREIDORA;         ;16-ABR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-158;0023175;B.K.14109-BOADILLA DEL MONTE NUEVO MUNDO;2;CAMPANA BROILER;         ;16-ABR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-159;0023176;B.K. 13520 - O'DONNELL;1;CAMPANA FREIDORA;         ;18-MAR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-159;0023176;B.K. 13520 - O'DONNELL;2;CAMPANA BROILER;         ;18-MAR-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-16;0023014;B.K.12568 - CULLERA VALENCIA;1;CAMPANA FREIDORAS             ;11-JUN-99;29-OCT-22;ANSUL          ;R-102; 11;  3;  6;428441;         ;                    ;
MTO/BKQ-16;0023014;B.K.12568 - CULLERA VALENCIA;2;CAMPANA BROILER               ;11-JUN-99;29-OCT-22;ANSUL          ;R-102;  7;  1;  4;428441;         ;                    ;
MTO/BKQ-160;0023177;B.K. 15549 - CC PLENILUNIO;1;CAMPANA FREIDORA;         ;11-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
MTO/BKQ-160;0023177;B.K. 15549 - CC PLENILUNIO;2;CAMPANA BROILER.;         ;11-ENE-19;SF/A 300       ;;  0;  0;  0;;         ;;
