NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/13;0127010;VIENA GIRONA;1;CAMPANA PARED 4,50 MT         ;09105***22/12/08; 1-MAR-19;L8099; 1-SEP-08;
;;;;;;         ;L8080; 1-JUL-08;
;;;;;;         ;;         ;
BAR-05-02-01/14;0127019;VIENA CASINO REUS;1;CAMPANA CENTRAL 5 M. ;nß00570424fe.12/2/14; 1-JUL-24;liquido azul; 1-ABR-14;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/14;0127019;VIENA CASINO REUS;2;CAMPANA FREIDORA              ;nß0403015 fe.23/6/10; 1-JUL-24;liquido azul; 1-ABR-14;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/15;0127018;VIENA GRAN VIA - SABADELL;1;CAMPANA PARED 3,8 MTS         ;2014; 1-JUL-24;LIQUIDO NUEVO HE;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/16;0127020;VIENA CA N'ORIAC - SABADELL;1;CAMPANA PARED ESPECIAL 5 MTS;Nß 05005; 1-SEP-25;L-5069   ; 1-ENE-15;
;;;;;Nß 11095; 1-SEP-25;L-5008; 1-ENE-15;
;;;;;;         ;;         ;
BAR-05-02-01/17;0127022;VIENA XALET MOLLET;1;CAMPANA PARED                 ;Nß00237113 F.8/3/12; 1-MAY-26;LIQUIDO AZUL HE; 1-ABR-16;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/17;0127022;VIENA XALET MOLLET;2;CAMPANA FREIDORA              ;Nß00923633 F.8/7/15; 1-MAY-26;LIQUIDO AZUL HE; 1-MAY-19;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/18;0127024;VIENA PARC CENTRAL TARRAGONA;1;CAMPANA PARED                 ;Nß00923637 F.8/7/15; 1-JUL-26;LIQUIDO AZUL HE; 1-MAY-16;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/19;0127025;VIENA OLOT;1;CAMPANA CENTRAL 5 MTS         ;N.010386 fe.29/8/16; 1-NOV-26;LIQUIDO AZUL HE; 1-SEP-16;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/19;0127025;VIENA OLOT;2;CAMPANA PARED 2,20 MTS        ;N.010898 FE.29/8/16; 1-NOV-26;LIQUIDO AZUL HE; 1-JUN-16;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/20;0127026;VIENA CASTELLAR DEL VALLES;1;CAMPANA PARED 5 m;Nß01103725 F.2/12/16; 1-FEB-27;LIQUIDO AZUL ; 1-MAR-17;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/20;0127026;VIENA CASTELLAR DEL VALLES;2;CAMPANA PARED;2007; 1-FEB-27;LIQUIDO AZUL HE; 1-MAR-17;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
