NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;3698001;B.K.14002 SAN ANTONIO I - IBIZA;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;3698002;B.K.14322 SAN ANTONIO II - IBIZA;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23043;B.K.10136 - TORREVIEJA 2 PLAYA;2;CAMPANA BROILER               ;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23043;B.K.10136 - TORREVIEJA 2 PLAYA;3;CAMPANA FREIDORAS (3)         ;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23043;B.K.10136 - TORREVIEJA 2 PLAYA;4;CAMPANA BROILER               ;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;3270001;B.K.8530 IBIZA CENTRO;1;CAMPANA FREIDORAS (4)         ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;FREIDORA                      ;L230 ;4;2;8
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;COLEGIO JOAN VENY I CLAR;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
